epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,959.84,0.54985,0.91956,0.43191,0.96009,0.81056,0.8156,0.84138,0.63576,0.79886,0.80384,0.83768,0.57587,0.66004,1.36699,0.59248,0.9873,0.00097775,0.00097775,0.00097775
68,974.018,0.55464,0.91698,0.44275,0.96716,0.7641,0.86442,0.8501,0.65316,0.74698,0.84731,0.83036,0.58076,0.61773,1.31783,0.49296,0.95333,0.000973625,0.000973625,0.000973625
69,988.18,0.55031,0.89616,0.42691,0.95926,0.83749,0.81721,0.86993,0.67113,0.85214,0.79913,0.86342,0.59437,0.65198,1.39194,0.4672,0.96785,0.0009695,0.0009695,0.0009695
70,1002.57,0.54801,0.88815,0.42899,0.95897,0.86117,0.80741,0.87222,0.65903,0.87778,0.78087,0.85814,0.60067,0.66201,1.47326,0.54234,0.97512,0.000965375,0.000965375,0.000965375
71,1016.72,0.5529,0.91284,0.43291,0.97165,0.81336,0.80384,0.83063,0.64392,0.80771,0.7976,0.84061,0.57939,0.62401,1.38007,0.54155,0.97529,0.00096125,0.00096125,0.00096125
72,1030.9,0.52964,0.86756,0.42478,0.95047,0.81249,0.84811,0.86787,0.66192,0.79755,0.8305,0.86069,0.58142,0.65722,1.31482,0.49206,0.97313,0.000957125,0.000957125,0.000957125
73,1045.06,0.53684,0.87041,0.41938,0.95776,0.82375,0.81128,0.86138,0.65038,0.83845,0.82225,0.86191,0.59763,0.67488,1.28417,0.48226,0.96877,0.000953,0.000953,0.000953
74,1059.35,0.53892,0.87621,0.41705,0.95622,0.82542,0.84352,0.8891,0.66015,0.80736,0.82597,0.86522,0.59136,0.65399,1.25541,0.47039,0.96851,0.000948875,0.000948875,0.000948875
75,1073.68,0.53708,0.88274,0.41254,0.9578,0.85012,0.84661,0.86431,0.65775,0.82887,0.82751,0.85544,0.58705,0.66285,1.31708,0.46665,0.98346,0.00094475,0.00094475,0.00094475
76,1087.95,0.5343,0.9109,0.41444,0.95257,0.83388,0.83759,0.84706,0.64507,0.82339,0.80928,0.84326,0.57257,0.63166,1.3433,0.47857,0.96231,0.000940625,0.000940625,0.000940625
77,1102.25,0.54053,0.88998,0.41565,0.95098,0.84333,0.85536,0.86761,0.65118,0.82023,0.81553,0.85041,0.57901,0.64218,1.3295,0.4953,0.9665,0.0009365,0.0009365,0.0009365
78,1116.56,0.53635,0.88917,0.41564,0.95847,0.83004,0.82784,0.85369,0.66073,0.82248,0.82976,0.86435,0.59584,0.60678,1.36305,0.45499,0.94856,0.000932375,0.000932375,0.000932375
79,1130.86,0.51562,0.86139,0.40657,0.94139,0.82597,0.79937,0.86226,0.66152,0.76449,0.82326,0.85367,0.58978,0.61954,1.26351,0.49264,0.97184,0.00092825,0.00092825,0.00092825
80,1145.22,0.52946,0.87743,0.41169,0.95534,0.83437,0.85007,0.86352,0.65613,0.81528,0.83358,0.86038,0.59737,0.65798,1.32445,0.49331,0.9821,0.000924125,0.000924125,0.000924125
81,1159.43,0.52568,0.933,0.41515,0.95261,0.84059,0.8323,0.85898,0.65308,0.81901,0.81269,0.8407,0.58112,0.63762,1.3716,0.45644,0.97108,0.00092,0.00092,0.00092
82,1173.66,0.51855,0.84917,0.4174,0.9448,0.83358,0.83819,0.84942,0.63606,0.76942,0.8664,0.85225,0.57434,0.63918,1.37563,0.45311,0.97404,0.000915875,0.000915875,0.000915875
83,1187.9,0.51882,0.85152,0.41003,0.94457,0.80385,0.8431,0.863,0.65219,0.79611,0.84887,0.88284,0.5984,0.63748,1.2995,0.45744,0.97634,0.00091175,0.00091175,0.00091175
84,1202.15,0.51805,0.82126,0.39663,0.94265,0.80078,0.84858,0.85729,0.6541,0.77497,0.83192,0.8392,0.58362,0.64133,1.3328,0.44402,0.97122,0.000907625,0.000907625,0.000907625
